District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,2019-01,93.3,12.2012622720898,29.2819074333801,33.5573632538569,83.5430575035063,0.0826979472140762,7.25601173020528
Adilabad,2019-02,11.9,16.9383540372671,33.2928571428571,27.5385093167702,71.907298136646,0.0670454545454545,10.3521103896104
Adilabad,2019-03,49.5,21.8321178120617,36.9726507713885,22.4779803646564,59.6638148667602,0.163782991202346,11.7958944281525
Adilabad,2019-04,151.5,26.9815942028985,40.8173913043478,17.3559420289855,50.242463768116,0.164090909090909,12.8369696969697
Adilabad,2019-05,42.5,30.1903225806452,42.7068723702665,13.9380084151473,36.029873772791,0.741521394611727,12.5871632329636
Adilabad,2019-06,2473.5,28.3283333333333,39.6261111111111,33.607037037037,70.7783333333333,0.784752475247525,11.9912871287129
Adilabad,2019-07,6482.9,24.9679211469534,32.4969534050179,65.3878136200717,92.3010752688172,1.04515539305302,10.8749542961609
Adilabad,2019-08,4594.4,24.1442652329749,30.2648745519713,73.6483870967742,96.3109318996416,0.52078853046595,10.2304659498208
Adilabad,2019-09,3302.5,23.6886015325671,30.6607279693487,75.8317049808429,97.6605363984674,0.182375478927203,8.37126436781609
Adilabad,2019-10,1532.8,22.0663978494624,31.5531362007169,66.6311827956989,98.0503584229391,0.0403225806451613,6.89139784946237
Adilabad,2019-11,81.1,17.7235185185185,31.1553703703704,51.1916666666667,96.4009259259259,0.0262962962962963,5.73240740740741
Adilabad,2019-12,12.8,15.8354838709677,28.84229390681,49.8913082437276,93.6052867383513,0.0539426523297491,5.47025089605735
Adilabad,2020-01,446.1,15.586917562724,28.4682795698925,51.5181003584229,93.191935483871,6.79616788321168,0
Adilabad,2020-02,70.1,16.5270114942529,31.2915708812261,39.1049808429119,83.7988505747127,7.7867816091954,0
Adilabad,2020-03,600.9,20.8413978494624,35.3774193548387,34.2041218637993,84.1729390681004,8.65824372759857,0
Adilabad,2020-04,302.8,24.3218518518518,38.9087037037037,24.0362962962963,66.0522222222222,8.4262962962963,
Adilabad,2020-05,274.2,28.0363799283154,41.3740143369176,21.1455197132616,55.6439068100358,7.79623655913979,
Adilabad,2020-06,2595.4,25.6740740740741,35.2601851851852,51.7961111111111,87.5725925925926,8.38252788104089,0.234386617100372
Adilabad,2020-07,6310.1,24.7873655913979,32.8987455197133,68.6853046594982,96.1181899641577,5.61702508960574,0.131003584229391
Adilabad,2020-08,4625,24.1899641577061,29.9359318996416,76.9102150537634,95.4746415770609,5.27831541218638,0.291039426523297
Adilabad,2020-09,2825.3,24.3735185185185,32.7288888888889,69.475,96.2203703703704,4.11469465648855,0.0587786259541985
Adilabad,2020-10,1142.8,22.2351254480287,32.5953405017921,58.826164874552,94.1449820788531,0.088671875,4.2666015625
Adilabad,2020-11,82.1,16.8598148148148,31.2705555555556,42.2668518518518,88.11,0.0676356589147287,4.10232558139535
Adilabad,2020-12,0.2,13.2206093189964,30.3351254480287,35.8899641577061,86.9326164874552,0.0446236559139785,3.90161290322581
Adilabad,2021-01,5.6,15.5453405017921,31.4602150537634,39.5245519713262,87.7897849462365,0.0439068100358423,4.53763440860215
Adilabad,2021-02,41.7,14.4303571428571,32.2234126984127,25.8843253968254,74.947619047619,0.0952380952380952,5.86646825396825
Adilabad,2021-03,9.5,20.2060931899642,36.552688172043,18.7664874551971,59.7795698924731,0.122043010752688,7.72455197132617
Adilabad,2021-04,162.6,24.277962962963,38.8011111111111,19.1153703703704,57.3194444444444,0.143148148148148,9.02074074074074
Adilabad,2021-05,712.1,26.7336879432624,38.3204491725768,19.6542553191489,44.1326241134752,0.146217494089835,5.96832151300236
Adilabad,2021-06,5737,24.5014814814815,33.5057407407407,54.8675925925926,89.4740740740741,0.0955555555555556,6.04388888888889
Adilabad,2021-07,8098.4,24.5826164874552,31.6883512544803,68.5731182795699,93.8154121863799,0.0870967741935484,4.49229390681004
Adilabad,2021-08,4726.7,24.2331541218638,31.5231182795699,67.2926523297491,94.2878136200717,0.0718637992831541,5.01827956989247
Adilabad,2021-09,6331.8,23.6761111111111,31.1322222222222,69.5044444444445,94.9292592592593,0.0798148148148148,4.57222222222222
Adilabad,2021-10,1180.8,20.5741935483871,32.0971326164875,53.2086021505376,93.3455197132617,0.0017921146953405,4.08405017921147
Adilabad,2021-11,429.6,18.7659259259259,30.822037037037,51.257962962963,92.0712962962963,0,0
Adilabad,2021-12,149,13.9965949820789,29.1123655913978,42.9406810035842,90.9681003584229,0.0231182795698925,3.94802867383513
Adilabad,2022-01,685.1,13.9388888888889,27.5066308243728,49.8148745519713,92.7188172043011,0.0480286738351254,3.89480286738351
Adilabad,2022-02,13.4,11.2142857142857,36.7035714285714,13.3107142857143,100,0,64.8571428571429
Adilabad,2022-03,3,20.313082437276,37.0965949820789,21.5215053763441,67.2675627240143,0.0109318996415771,5.23853046594982
Adilabad,2022-04,192.3,25.9716666666667,40.5474074074074,21.9801851851852,63.3940740740741,0.0898148148148148,6.4887037037037
Adilabad,2022-05,496.8,28.018458781362,40.6433691756272,26.1353046594982,62.5046594982079,0.125268817204301,8.69444444444444
Adilabad,2022-06,3116.2,26.7238888888889,36.7164814814815,47.0412962962963,80.0888888888889,0.105740740740741,8.53537037037037
Adilabad,2022-07,15602.4,23.6953405017921,29.639247311828,81.9874551971326,98.7388888888889,0.265671641791045,5.90130597014925
Adilabad,2022-08,3702.4,24.3831541218638,32.1102150537634,74.8758064516129,98.4078853046595,0.236279926335175,8.5390423572744
