location,date,aqi
Adilabad,2021-12-01,59.3
Adilabad,2022-01-01,58.2
Adilabad,2022-02-01,57.1
Adilabad,2022-03-01,56.0
Adilabad,2022-04-01,65.0
Adilabad,2022-05-01,60.1481481481481
Adilabad,2022-06-01,58.0
Adilabad,2022-07-01,48.0
Adilabad,2022-08-01,56.0
Adilabad,2022-09-01,56.0
Adilabad,2022-10-01,65.0
Adilabad,2022-11-01,58.0
Adilabad,2022-12-01,62.0
Balanagar,2016-01-01,162.666666666667
Balanagar,2016-02-01,175.666666666667
Balanagar,2016-03-01,116.125
Balanagar,2016-04-01,123.296296296296
Balanagar,2016-05-01,108.333333333333
Balanagar,2016-06-01,102.444444444444
Balanagar,2016-07-01,92.8481481481481
Balanagar,2016-08-01,104.041666666667
Balanagar,2016-09-01,84.5555555555556
Balanagar,2016-10-01,109.888888888889
Balanagar,2016-11-01,161.555555555556
Balanagar,2016-12-01,155.444444444444
Balanagar,2017-01-01,155.333333333333
Balanagar,2017-02-01,160.0
Balanagar,2017-03-01,155.555555555556
Balanagar,2017-04-01,182.555555555556
Balanagar,2017-05-01,166.0
Balanagar,2017-06-01,132.0
Balanagar,2017-07-01,103.0
Balanagar,2017-08-01,119.777777777778
Balanagar,2017-09-01,122.777777777778
Balanagar,2017-10-01,124.555555555556
Balanagar,2017-11-01,136.222222222222
Balanagar,2017-12-01,135.555555555556
Balanagar,2018-01-01,141.111111111111
Balanagar,2018-02-01,128.555555555556
Balanagar,2018-03-01,127.444444444444
Balanagar,2018-04-01,126.666666666667
Balanagar,2018-05-01,120.888888888889
Balanagar,2018-06-01,107.0
Balanagar,2018-07-01,89.6666666666667
Balanagar,2018-08-01,97.4444444444444
Balanagar,2018-09-01,123.111111111111
Balanagar,2018-10-01,131.666666666667
Balanagar,2018-11-01,135.875
Balanagar,2018-12-01,148.444444444444
Balanagar,2019-01-01,182.111111111111
Balanagar,2019-02-01,175.444444444444
Balanagar,2019-03-01,157.444444444444
Balanagar,2019-04-01,149.0
Balanagar,2019-05-01,138.625
Balanagar,2019-06-01,118.333333333333
Balanagar,2019-07-01,88.0
Balanagar,2019-08-01,84.6188420723551
Balanagar,2019-09-01,85.0
Balanagar,2019-10-01,110.0
Balanagar,2019-11-01,142.555555555556
Balanagar,2019-12-01,150.0
Balanagar,2020-01-01,126.0
Balanagar,2020-02-01,119.0
Balanagar,2020-03-01,136.0
Balanagar,2020-04-01,80.0
Balanagar,2020-05-01,86.0
Balanagar,2020-06-01,67.0
Balanagar,2020-07-01,74.0
Balanagar,2020-08-01,94.0
Balanagar,2020-09-01,88.0
Balanagar,2020-10-01,98.0
Balanagar,2020-11-01,135.0
Balanagar,2020-12-01,157.0
Balanagar,2021-01-01,161.506885568389
Balanagar,2021-02-01,169.0
Balanagar,2021-03-01,166.316450575671
Balanagar,2021-04-01,166.0
Balanagar,2021-05-01,112.0
Balanagar,2021-06-01,93.0
Balanagar,2021-07-01,80.7616398906774
Balanagar,2021-08-01,81.2146065114128
Balanagar,2021-09-01,69.0
Balanagar,2021-10-01,103.0
Balanagar,2021-11-01,110.812650063307
Balanagar,2021-12-01,134.0
Balanagar,2022-01-01,139.0
Balanagar,2022-02-01,141.0
Balanagar,2022-03-01,136.989444264008
Balanagar,2022-04-01,111.0
Balanagar,2022-05-01,116.0
Balanagar,2022-06-01,103.0
Balanagar,2022-07-01,81.0
Balanagar,2022-08-01,53.0
Balanagar,2022-09-01,89.0
Balanagar,2022-10-01,81.0
Balanagar,2022-11-01,104.496713314305
Balanagar,2022-12-01,113.465841944429
Balasamudram,2016-01-01,56.25
Balasamudram,2016-02-01,50.5
Balasamudram,2016-03-01,56.25
Balasamudram,2016-04-01,62.0
Balasamudram,2016-05-01,76.25
Balasamudram,2016-06-01,69.75
Balasamudram,2016-07-01,63.75
Balasamudram,2016-08-01,58.0
Balasamudram,2016-09-01,52.5
Balasamudram,2016-10-01,51.75
Balasamudram,2016-11-01,86.25
Balasamudram,2016-12-01,87.0
Balasamudram,2017-01-01,76.0
Balasamudram,2017-02-01,64.0
Balasamudram,2017-03-01,75.0
Balasamudram,2017-04-01,75.0
Balasamudram,2017-05-01,69.0
Balasamudram,2017-06-01,59.5
Balasamudram,2017-07-01,53.25
Balasamudram,2017-08-01,71.25
Balasamudram,2017-09-01,58.0
Balasamudram,2017-10-01,75.0
Balasamudram,2017-11-01,68.0
Balasamudram,2017-12-01,72.25
Balasamudram,2018-01-01,108.0
Balasamudram,2018-02-01,80.5
Balasamudram,2018-03-01,85.5158730158731
Balasamudram,2018-04-01,88.0
Balasamudram,2018-05-01,78.1484962406015
Balasamudram,2018-06-01,75.8615288220553
Balasamudram,2018-07-01,80.0
Balasamudram,2018-08-01,68.0
Balasamudram,2018-09-01,84.0
Balasamudram,2018-10-01,87.7604166666671
Balasamudram,2018-11-01,89.201388888889
Balasamudram,2018-12-01,93.0
