location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
" DIC building, Karimnagar",2016-02-01,25.0,,,,9.0,,,,24.0,
"CER Club, Kothagudem",2016-02-01,20.0,,,,8.0,,,71.0,,
Jalasouda ,2016-02-01,19.0,,,,7.0,,,51.0,,
Kothur,2016-02-01,32.0,,,,10.0,,,82.0,24.0,
R.C.Puram,2016-02-01,28.0,,,,6.0,,,97.0,21.0,
Bollaram,2016-02-01,,,,,,,,,,
Sangareddy,2016-02-01,23.0,,,,5.0,,,70.0,,
PETL,2016-02-01,24.0,,,,12.0,,,95.0,,
Gaddapotharam,2016-02-01,27.0,,,,5.0,,,95.0,,
"Nalgonda RO, Building",2016-02-01,27.0,,,,6.0,,,62.0,21.2,
"Choutuppal, Nalgonda",2016-02-01,28.0,,,,7.0,,,66.0,26.7,
Subhasnagar/  Nizamabad,2016-02-01,,,,,,,,64.0,,
Adilabad/ Mandamarri,2016-02-01,,,,,,,,68.0,,
"Balanagar , CITD office ",2016-03-01,37.7,,,,4.5,,,124.0,88.0,
"Uppal, Modern food Industry, IDA",2016-03-01,23.8,,,,4.5,,,96.0,85.0,
"Jubilee Hills, Police station",2016-03-01,30.3,,,,4.4,,,109.0,84.0,
"Paradise, HMWS &SB Pump house ",2016-03-01,28.2,,,,4.5,,,135.0,61.0,
"Charminar, TSRTC bus station ",2016-03-01,33.4,,,,4.5,,,109.0,83.0,
"Jeedimetla, Industrial Association building",2016-03-01,26.0,,,,4.4,,,133.0,148.0,
"Buddha Purnima Project office, Tank Bund",2016-03-01,20.1,,,,4.4,,,,,
"MGBS, Bus stand ",2016-03-01,19.6,,,,4.4,,,98.0,,
"Chikkadapally, Lepakshi Emporium ",2016-03-01,22.9,,,,4.5,,,93.0,,
"Langar House, Police Station ",2016-03-01,19.9,,,,4.6,,,112.0,,
"Madhapur, Shilpa Kalavedika ",2016-03-01,19.3,,,,4.3,,,89.0,,
"Shameerpet, MRO office",2016-03-01,16.4,,,,4.3,,,84.0,,
"Kukatpally, JNTU",2016-03-01,24.0,,,,4.5,,,78.0,,
"Sainikpuri,  MRO office ",2016-03-01,18.3,,,,4.4,,,85.0,,
"Rajendranaga, NG Rang Agricultural University ",2016-03-01,16.2,,,,,,,67.0,,
"Nacharam, Police station ",2016-03-01,22.3,,,,4.5,,,131.0,,
"Abids, Police station ",2016-03-01,24.5,,,,4.4,,,118.0,,
