location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
"Charminar, TSRTC bus station ",2017-06-01,25.4,,,,4.6,,,85.0,82.0,
"Jeedimetla, Industrial Association Building",2017-06-01,27.4,44.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2017-06-01,20.0,,,,4.5,,,,,
"MGBS, Bus stand ",2017-06-01,21.6,,,,4.5,,,46.0,,
"Chikkadapally, Lepakshi Emporium ",2017-06-01,23.5,,,,4.5,,,51.0,,
"Langar House, Police Station ",2017-06-01,26.0,,,,4.5,,,67.0,,
"Madhapur, Shilpa Kalavedika ",2017-06-01,22.7,,,,4.5,,,47.0,,
"Shameerpet, MRO office",2017-06-01,17.5,,,,4.7,,,58.0,,
"Kukatpally, JNTU",2017-06-01,29.9,40.0,,,4.8,,,72.0,94.0,
"Sainikpuri,  MRO office ",2017-06-01,17.4,,,,4.5,,,73.0,,
"Rajendranaga, NG Rang Agricultural University ",2017-06-01,17.4,,,,,,,56.0,,
"Nacharam, Police station ",2017-06-01,23.5,,,,4.8,,,78.0,,
"Abids, Police station ",2017-06-01,23.3,,,,4.7,,,75.0,,
"KBRN Park, DFO office ",2017-06-01,19.5,,,,4.6,,,45.0,,
HCU,2017-06-01,14.4,11.0,0.7,0.1,4.4,1.1,30.5,34.0,8.2,0.7
Sanathnagar,2017-06-01,23.3,23.0,7.3,0.6,4.8,1.2,25.2,,,0.41
Zoopark,2017-06-01,15.9,18.0,6.0,0.6,8.9,0.0,58.1,41.0,12.3,0.92
Pashamylaram,2017-06-01,31.4,15.0,2.0,0.1,2.3,0.7,40.2,40.0,8.7,0.65
"Bollaram, CAAQMS",2017-06-01,21.2,25.0,,,35.5,,,60.0,25.5,
ICRISAT,2017-06-01,8.0,10.0,1.2,0.0,6.2,0.2,38.7,31.0,6.2,0.3
KUDA,2017-06-01,24.3,,,,7.0,,,63.0,22.0,
" Mee-Seva, Warangal ",2017-06-01,23.6,,,,7.1,,,,21.0,
Balasamudram,2017-06-01,24.0,,,,7.3,,,60.0,,
Nakkalagutta,2017-06-01,25.0,,,,7.5,,,59.0,,
Godavarikhani,2017-06-01,25.7,,,,7.8,,,67.0,23.0,
" DIC building, Karimnagar",2017-06-01,22.0,,,,6.6,,,,23.0,
"CER Club, Kothagudem",2017-06-01,26.2,,,,7.2,,,52.0,24.0,
Jalasouda ,2017-06-01,24.0,,,,7.4,,,42.0,23.0,
Kothur,2017-06-01,23.8,,,,7.0,,,64.0,22.0,
R.C.Puram,2017-06-01,25.0,25.0,,,5.0,,,61.0,18.0,
"Bollaram, SAAQM",2017-06-01,,,,,,,,,,
Sangareddy,2017-06-01,21.0,21.0,,,,,,53.0,17.0,
PETL,2017-06-01,24.0,,,,4.0,,,80.0,,
Gaddapotharam,2017-06-01,22.0,22.0,,,4.0,,,57.0,17.0,
"Nalgonda RO, Building",2017-06-01,22.0,22.0,,,4.0,,,52.0,18.0,
"Choutuppal, Nalgonda",2017-06-01,26.0,,,,6.0,,,59.0,18.0,
Subhasnagar/  Nizamabad,2017-06-01,20.0,,,,5.0,,,63.0,,
Adilabad/ Mandamarri,2017-06-01,20.0,,,,4.0,,,66.0,,
"Balanagar , CITD office ",2017-07-01,26.5,41.0,,,4.8,,,109.0,74.0,
"Uppal, Modern food Industry, IDA",2017-07-01,29.1,33.0,,,4.6,,,74.0,81.0,
"Jubilee Hills, Police station",2017-07-01,24.6,36.0,,,4.6,,,98.0,71.0,
"Paradise, HMWS &SB Pump house ",2017-07-01,30.6,,,,4.6,,,85.0,56.0,
"Charminar, TSRTC bus station ",2017-07-01,22.1,30.0,,,4.5,,,84.0,62.0,
"Jeedimetla, Industrial Association Building",2017-07-01,23.2,40.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2017-07-01,18.2,,,,4.4,,,,,
"MGBS, Bus stand ",2017-07-01,21.1,,,,4.7,,,58.0,,
"Chikkadapally, Lepakshi Emporium ",2017-07-01,19.6,,,,4.7,,,61.0,,
"Langar House, Police Station ",2017-07-01,21.5,,,,4.6,,,72.0,,
"Madhapur, Shilpa Kalavedika ",2017-07-01,17.9,,,,4.8,,,40.0,,
"Shameerpet, MRO office",2017-07-01,17.8,,,,4.5,,,51.0,,
"Kukatpally, JNTU",2017-07-01,25.0,52.0,,,4.8,,,73.0,83.0,
"Sainikpuri,  MRO office ",2017-07-01,16.2,,,,4.7,,,63.0,,
"Rajendranaga, NG Rang Agricultural University ",2017-07-01,15.7,,,,,,,35.0,,
"Nacharam, Police station ",2017-07-01,21.6,,,,4.8,,,60.0,,
"Abids, Police station ",2017-07-01,23.0,,,,4.6,,,87.0,,
"KBRN Park, DFO office ",2017-07-01,17.3,,,,4.4,,,41.0,,
HCU,2017-07-01,13.5,13.0,1.9,0.7,4.2,0.2,20.0,43.0,6.1,0.7
Sanathnagar,2017-07-01,20.9,21.0,5.1,0.4,4.6,0.8,16.6,,,0.3
Zoopark,2017-07-01,13.0,14.0,6.4,0.2,5.5,1.1,45.1,45.0,11.3,0.35
Pashamylaram,2017-07-01,28.0,17.0,3.7,0.2,2.5,4.8,34.8,53.0,4.5,0.71
"Bollaram, CAAQMS",2017-07-01,21.5,29.0,,,38.9,,,77.0,30.1,
ICRISAT,2017-07-01,5.9,13.0,2.1,0.0,8.9,0.2,23.5,41.0,4.6,0.3
KUDA,2017-07-01,24.0,,,,7.0,,,58.0,23.0,
" Mee-Seva, Warangal ",2017-07-01,26.0,,,,6.0,,,,23.0,
Balasamudram,2017-07-01,27.0,,,,8.0,,,53.0,,
Nakkalagutta,2017-07-01,27.0,,,,8.0,,,48.0,,
Godavarikhani,2017-07-01,25.0,,,,7.0,,,40.0,22.0,
" DIC building, Karimnagar",2017-07-01,27.0,,,,7.0,,,,22.0,
"CER Club, Kothagudem",2017-07-01,23.0,,,,6.0,,,44.0,22.0,
Jalasouda ,2017-07-01,22.0,,,,7.0,,,38.0,22.0,
Kothur,2017-07-01,27.0,,,,7.0,,,69.0,22.0,
R.C.Puram,2017-07-01,22.0,23.0,,,6.0,,,49.0,18.0,
"Bollaram, SAAQM",2017-07-01,24.0,,,,6.0,,,111.0,,
Sangareddy,2017-07-01,22.0,23.0,,,4.0,,,51.0,17.0,
PETL,2017-07-01,25.0,,,,6.0,,,76.0,,
Gaddapotharam,2017-07-01,22.0,20.0,,,5.0,,,51.0,16.0,
"Nalgonda RO, Building",2017-07-01,23.0,38.0,,,5.0,,,55.0,17.0,
"Choutuppal, Nalgonda",2017-07-01,24.0,,,,6.0,,,62.0,18.0,
Subhasnagar/  Nizamabad,2017-07-01,21.0,,,,5.0,,,57.0,,
Adilabad/ Mandamarri,2017-07-01,21.0,,,,5.0,,,61.0,,
"Balanagar , CITD office ",2017-08-01,34.5,38.0,,,5.3,,,130.0,81.0,
"Uppal, Modern food Industry, IDA",2017-08-01,32.5,26.0,,,5.1,,,73.0,87.0,
"Jubilee Hills, Police station",2017-08-01,23.3,33.0,,,4.8,,,103.0,77.0,
"Paradise, HMWS &SB Pump house ",2017-08-01,37.3,,,,4.8,,,80.0,70.0,
"Charminar, TSRTC bus station ",2017-08-01,25.1,39.0,,,5.1,,,97.0,84.0,
"Jeedimetla, Industrial Association Building",2017-08-01,24.8,31.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2017-08-01,19.7,,,,4.6,,,,,
"MGBS, Bus stand ",2017-08-01,20.2,,,,4.7,,,83.0,,
"Chikkadapally, Lepakshi Emporium ",2017-08-01,20.9,,,,5.0,,,59.0,,
"Langar House, Police Station ",2017-08-01,23.1,,,,4.9,,,71.0,,
"Madhapur, Shilpa Kalavedika ",2017-08-01,19.4,,,,4.9,,,42.0,,
"Shameerpet, MRO office",2017-08-01,19.2,,,,4.6,,,58.0,,
"Kukatpally, JNTU",2017-08-01,26.8,34.0,,,5.0,,,70.0,77.0,
"Sainikpuri,  MRO office ",2017-08-01,18.4,,,,4.5,,,69.0,,
"Rajendranaga, NG Rang Agricultural University ",2017-08-01,16.5,,,,,,,38.0,,
"Nacharam, Police station ",2017-08-01,23.2,,,,4.7,,,50.0,,
"Abids, Police station ",2017-08-01,21.5,,,,4.8,,,62.0,,
"KBRN Park, DFO office ",2017-08-01,16.7,,,,4.6,,,35.0,,
HCU,2017-08-01,16.7,13.0,8.2,2.4,6.0,1.1,30.9,41.0,7.9,0.78
Sanathnagar,2017-08-01,27.4,26.0,10.5,0.7,5.1,1.4,14.1,,,0.46
Zoopark,2017-08-01,18.0,17.0,8.7,0.9,5.3,0.8,48.8,48.0,9.3,0.36
Pashamylaram,2017-08-01,28.9,19.0,5.1,0.4,4.1,3.5,31.5,53.0,6.6,0.67
"Bollaram, CAAQMS",2017-08-01,18.4,35.0,,,36.0,,,85.0,22.8,
ICRISAT,2017-08-01,7.8,16.0,2.9,0.1,5.6,0.4,20.3,43.0,7.3,0.34
KUDA,2017-08-01,22.0,,,,7.0,,,52.0,23.0,
" Mee-Seva, Warangal ",2017-08-01,22.0,,,,6.0,,,,21.0,
Balasamudram,2017-08-01,20.0,,,,8.0,,,71.0,,
Nakkalagutta,2017-08-01,25.0,,,,8.0,,,66.0,,
Godavarikhani,2017-08-01,24.0,,,,7.0,,,47.0,22.0,
" DIC building, Karimnagar",2017-08-01,26.0,,,,6.0,,,,25.0,
"CER Club, Kothagudem",2017-08-01,19.0,,,,5.0,,,63.0,21.0,
Jalasouda ,2017-08-01,23.0,,,,6.0,,,64.0,21.0,
Kothur,2017-08-01,26.0,,,,7.0,,,70.0,24.0,
R.C.Puram,2017-08-01,22.0,23.0,,,6.0,,,40.0,17.0,
"Bollaram, SAAQM",2017-08-01,26.0,,,,5.0,,,78.0,,
Sangareddy,2017-08-01,23.0,21.0,,,5.0,,,47.0,17.0,
PETL,2017-08-01,24.0,,,,6.0,,,66.0,,
Gaddapotharam,2017-08-01,23.0,32.0,,,6.0,,,44.0,16.0,
"Nalgonda RO, Building",2017-08-01,24.0,31.0,,,5.0,,,55.0,17.0,
"Choutuppal, Nalgonda",2017-08-01,23.0,,,,6.0,,,61.0,18.0,
Subhasnagar/  Nizamabad,2017-08-01,21.0,,,,5.0,,,59.0,,
Adilabad/ Mandamarri,2017-08-01,21.0,,,,5.0,,,61.0,,
"Balanagar , CITD office ",2017-09-01,28.5,53.0,,,5.2,,,130.0,76.0,
"Uppal, Modern food Industry, IDA",2017-09-01,28.7,26.0,,,4.8,,,86.0,81.0,
"Jubilee Hills, Police station",2017-09-01,25.0,44.0,,,4.7,,,114.0,75.0,
"Paradise, HMWS &SB Pump house ",2017-09-01,31.9,,,,4.9,,,81.0,63.0,
"Charminar, TSRTC bus station ",2017-09-01,28.9,46.0,,,5.4,,,115.0,71.0,
"Jeedimetla, Industrial Association Building",2017-09-01,29.3,47.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2017-09-01,18.6,,,,4.8,,,,,
"MGBS, Bus stand ",2017-09-01,22.7,,,,4.6,,,116.0,,
"Chikkadapally, Lepakshi Emporium ",2017-09-01,22.2,,,,4.7,,,72.0,,
"Langar House, Police Station ",2017-09-01,26.1,,,,5.0,,,92.0,,
"Madhapur, Shilpa Kalavedika ",2017-09-01,20.5,,,,4.9,,,74.0,,
"Shameerpet, MRO office",2017-09-01,17.7,,,,4.6,,,74.0,,
"Kukatpally, JNTU",2017-09-01,27.6,40.0,,,5.0,,,82.0,87.0,
"Sainikpuri,  MRO office ",2017-09-01,17.4,,,,4.7,,,73.0,,
"Rajendranaga, NG Rang Agricultural University ",2017-09-01,16.2,,,,,,,52.0,,
"Nacharam, Police station ",2017-09-01,25.3,,,,5.3,,,78.0,,
"Abids, Police station ",2017-09-01,22.3,,,,5.0,,,82.0,,
"KBRN Park, DFO office ",2017-09-01,16.5,,,,4.9,,,54.0,,
HCU,2017-09-01,20.8,19.0,15.4,3.9,6.2,1.7,44.8,48.0,9.0,0.89
Sanathnagar,2017-09-01,30.4,34.0,17.1,0.9,5.2,1.7,19.5,,,0.51
Zoopark,2017-09-01,29.3,28.0,8.8,1.0,6.2,0.5,63.2,55.0,11.0,0.41
Pashamylaram,2017-09-01,30.1,28.0,7.7,0.4,3.4,4.7,32.2,57.0,5.1,0.7
"Bollaram, CAAQMS",2017-09-01,22.3,39.0,,,30.0,,,87.0,20.0,
ICRISAT,2017-09-01,9.6,23.0,2.7,0.1,6.2,0.4,24.2,49.0,6.2,0.4
KUDA,2017-09-01,23.0,,,,7.0,,,68.0,20.0,
" Mee-Seva, Warangal ",2017-09-01,20.0,,,,6.0,,,,21.0,
Balasamudram,2017-09-01,22.0,,,,7.0,,,58.0,,
Nakkalagutta,2017-09-01,25.0,,,,8.0,,,58.0,,
Godavarikhani,2017-09-01,23.0,,,,7.0,,,69.0,21.0,
" DIC building, Karimnagar",2017-09-01,22.0,,,,7.0,,,,21.0,
"CER Club, Kothagudem",2017-09-01,22.0,,,,7.0,,,52.0,19.0,
Jalasouda ,2017-09-01,22.0,,,,7.0,,,50.0,19.0,
Kothur,2017-09-01,24.0,,,,7.0,,,70.0,20.0,
R.C.Puram,2017-09-01,23.0,24.0,,,5.0,,,45.0,18.0,
"Bollaram, SAAQM",2017-09-01,24.0,,,,7.0,,,86.0,,
Sangareddy,2017-09-01,22.0,21.0,,,5.0,,,42.0,16.0,
PETL,2017-09-01,25.0,,,,7.0,,,76.0,,
Gaddapotharam,2017-09-01,23.0,26.0,,,6.0,,,45.0,17.0,
"Nalgonda RO, Building",2017-09-01,24.0,36.0,,,5.0,,,56.0,17.0,
"Choutuppal, Nalgonda",2017-09-01,25.0,,,,6.0,,,62.0,18.0,
Subhasnagar/  Nizamabad,2017-09-01,21.0,,,,5.0,,,60.0,,
Adilabad/ Mandamarri,2017-09-01,21.0,,,,5.0,,,61.0,,
"Balanagar , CITD office ",2017-10-01,34.8,48.0,,,4.8,,,138.0,75.0,
"Uppal, Modern food Industry, IDA",2017-10-01,32.5,,,,4.7,,,102.0,78.0,
"Jubilee Hills, Police station",2017-10-01,23.6,61.0,,,4.7,,,128.0,71.0,
"Paradise, HMWS &SB Pump house ",2017-10-01,33.0,,,,4.7,,,100.0,56.0,
"Charminar, TSRTC bus station ",2017-10-01,29.9,49.0,,,5.1,,,121.0,67.0,
"Jeedimetla, Industrial Association Building",2017-10-01,33.9,60.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2017-10-01,19.7,,,,4.6,,,,,
"MGBS, Bus stand ",2017-10-01,24.7,,,,4.8,,,108.0,,
"Chikkadapally, Lepakshi Emporium ",2017-10-01,24.0,,,,4.9,,,87.0,,
"Langar House, Police Station ",2017-10-01,28.9,,,,4.6,,,100.0,,
"Madhapur, Shilpa Kalavedika ",2017-10-01,22.8,,,,4.6,,,78.0,,
"Shameerpet, MRO office",2017-10-01,16.1,,,,4.8,,,49.0,,
"Kukatpally, JNTU",2017-10-01,32.5,,,,5.1,,,93.0,68.0,
"Sainikpuri,  MRO office ",2017-10-01,18.1,,,,4.6,,,69.0,,
"Rajendranaga, NG Rang Agricultural University ",2017-10-01,15.1,,,,,,,51.0,,
"Nacharam, Police station ",2017-10-01,23.6,,,,4.8,,,116.0,,
"Abids, Police station ",2017-10-01,23.5,,,,4.8,,,95.0,,
"KBRN Park, DFO office ",2017-10-01,18.1,,,,4.6,,,72.0,,
HCU,2017-10-01,37.4,41.0,88.5,23.2,5.2,18.7,47.7,84.0,11.0,1.12
Sanathnagar,2017-10-01,50.5,64.0,33.0,1.8,5.8,2.5,31.8,,,0.76
Zoopark,2017-10-01,38.6,60.0,21.7,4.0,5.6,3.3,61.0,102.0,15.3,0.65
Pashamylaram,2017-10-01,36.2,51.0,13.3,1.2,8.7,3.1,33.9,104.0,8.5,0.66
"Bollaram, CAAQMS",2017-10-01,32.6,63.0,,,37.1,,,124.0,23.1,
ICRISAT,2017-10-01,17.3,48.0,2.8,0.1,10.2,0.6,32.8,93.0,8.5,0.56
KUDA,2017-10-01,18.0,,,,8.0,,,59.0,39.0,
" Mee-Seva, Warangal ",2017-10-01,24.0,,,,9.0,,,,37.0,
Balasamudram,2017-10-01,20.0,,,,8.0,,,76.0,,
Nakkalagutta,2017-10-01,24.0,,,,7.0,,,73.0,,
Godavarikhani,2017-10-01,26.0,,,,8.0,,,68.0,23.0,
" DIC building, Karimnagar",2017-10-01,32.0,,,,8.0,,,,39.0,
"CER Club, Kothagudem",2017-10-01,26.0,,,,7.0,,,63.0,24.0,
Jalasouda ,2017-10-01,19.0,,,,7.0,,,63.0,29.0,
Kothur,2017-10-01,23.0,,,,12.0,,,72.0,45.0,
R.C.Puram,2017-10-01,23.0,41.0,,,6.0,,,56.0,18.0,
"Bollaram, SAAQM",2017-10-01,28.0,,,,7.0,,,146.0,,
Sangareddy,2017-10-01,23.0,36.0,,,5.0,,,56.0,18.0,
PETL,2017-10-01,25.0,,,,7.0,,,63.0,,
Gaddapotharam,2017-10-01,23.0,26.0,,,6.0,,,53.0,17.0,
"Nalgonda RO, Building",2017-10-01,23.0,37.0,,,6.0,,,59.0,17.0,
"Choutuppal, Nalgonda",2017-10-01,22.0,,,,5.0,,,62.0,17.0,
Subhasnagar/  Nizamabad,2017-10-01,21.0,,,,6.0,,,59.0,,
Adilabad/ Mandamarri,2017-10-01,22.0,,,,5.0,,,62.0,,
"Balanagar , CITD office ",2017-11-01,34.6,53.0,,,4.8,,,154.0,85.0,
"Uppal, Modern food Industry, IDA",2017-11-01,29.3,55.0,,,4.9,,,138.0,83.0,
"Jubilee Hills, Police station",2017-11-01,25.8,53.0,,,4.5,,,108.0,78.0,
"Paradise, HMWS &SB Pump house ",2017-11-01,33.6,,,,4.8,,,107.0,65.0,
"Charminar, TSRTC bus station ",2017-11-01,30.6,59.0,,,4.8,,,146.0,76.0,
"Jeedimetla, Industrial Association Building",2017-11-01,32.3,58.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2017-11-01,22.6,,,,4.7,,,,,
"MGBS, Bus stand ",2017-11-01,22.9,,,,4.6,,,82.0,,
"Chikkadapally, Lepakshi Emporium ",2017-11-01,22.8,,,,4.8,,,76.0,,
"Langar House, Police Station ",2017-11-01,26.2,,,,4.8,,,120.0,,
"Madhapur, Shilpa Kalavedika ",2017-11-01,22.3,,,,4.8,,,107.0,,
"Shameerpet, MRO office",2017-11-01,20.5,,,,4.6,,,64.0,,
"Kukatpally, JNTU",2017-11-01,32.9,58.0,,,4.9,,,140.0,85.0,
"Sainikpuri,  MRO office ",2017-11-01,18.5,,,,4.7,,,76.0,,
"Rajendranaga, NG Rang Agricultural University ",2017-11-01,15.3,,,,,,,59.0,,
"Nacharam, Police station ",2017-11-01,22.1,,,,4.7,,,113.0,,
"Abids, Police station ",2017-11-01,23.3,,,,4.7,,,94.0,,
"KBRN Park, DFO office ",2017-11-01,18.1,,,,4.5,,,82.0,,
HCU,2017-11-01,50.7,47.0,65.4,19.7,10.9,16.2,62.0,97.0,16.7,1.11
Sanathnagar,2017-11-01,48.1,62.0,40.1,1.9,5.7,2.0,45.8,,,0.65
Zoopark,2017-11-01,55.7,61.0,16.3,3.9,10.7,2.7,62.5,116.0,20.3,0.79
Pashamylaram,2017-11-01,51.7,59.0,24.9,2.3,16.6,6.7,32.5,118.0,12.0,0.69
"Bollaram, CAAQMS",2017-11-01,29.7,50.0,,,22.1,,,100.0,17.0,
ICRISAT,2017-11-01,26.3,54.0,2.8,0.3,23.5,0.6,35.6,107.0,11.8,0.65
KUDA,2017-11-01,24.0,,,,7.0,,,65.0,22.0,
" Mee-Seva, Warangal ",2017-11-01,27.0,,,,7.0,,,,23.0,
Balasamudram,2017-11-01,25.0,,,,7.5,,,68.0,,
Nakkalagutta,2017-11-01,28.0,,,,7.3,,,76.0,,
Godavarikhani,2017-11-01,26.0,,,,8.0,,,81.0,22.0,
" DIC building, Karimnagar",2017-11-01,22.0,,,,7.0,,,,26.0,
"CER Club, Kothagudem",2017-11-01,21.0,,,,7.0,,,59.0,30.0,
Jalasouda ,2017-11-01,20.0,,,,7.0,,,54.0,32.0,
Kothur,2017-11-01,29.0,,,,7.0,,,76.0,25.0,
R.C.Puram,2017-11-01,24.0,45.0,,,6.0,,,72.0,17.0,
"Bollaram, SAAQM",2017-11-01,,,,,,,,,,
Sangareddy,2017-11-01,22.0,28.0,,,4.0,,,64.0,16.0,
PETL,2017-11-01,27.0,,,,8.0,,,92.0,,
Gaddapotharam,2017-11-01,22.0,43.0,,,6.0,,,89.0,17.0,
"Nalgonda RO, Building",2017-11-01,22.0,39.0,,,6.0,,,57.0,18.0,
"Choutuppal, Nalgonda",2017-11-01,21.0,,,,6.0,,,61.0,18.0,
Subhasnagar/  Nizamabad,2017-11-01,21.0,,,,6.0,,,59.0,,
Adilabad/ Mandamarri,2017-11-01,21.0,,,,6.0,,,63.0,,
"Balanagar , CITD office ",2017-12-01,34.2,62.0,,,4.8,,,146.0,82.0,
"Uppal, Modern food Industry, IDA",2017-12-01,33.1,59.0,,,5.0,,,151.0,83.0,
"Jubilee Hills, Police station",2017-12-01,29.3,50.0,,,4.7,,,140.0,82.0,
"Paradise, HMWS &SB Pump house ",2017-12-01,38.2,,,,4.8,,,142.0,79.0,
"Charminar, TSRTC bus station ",2017-12-01,31.8,64.0,,,4.7,,,150.0,77.0,
"Jeedimetla, Industrial Association Building",2017-12-01,39.2,68.0,,,,,,,,
"Buddha Purnima Project office, Tank Bund",2017-12-01,22.8,,,,4.7,,,,,
"MGBS, Bus stand ",2017-12-01,23.7,,,,4.7,,,103.0,,
"Chikkadapally, Lepakshi Emporium ",2017-12-01,24.7,,,,4.7,,,86.0,,
"Langar House, Police Station ",2017-12-01,28.9,,,,4.5,,,122.0,,
"Madhapur, Shilpa Kalavedika ",2017-12-01,28.1,,,,4.7,,,116.0,,
"Shameerpet, MRO office",2017-12-01,19.6,,,,4.8,,,65.0,,
"Kukatpally, JNTU",2017-12-01,34.1,72.0,,,5.0,,,159.0,84.0,
"Sainikpuri,  MRO office ",2017-12-01,18.2,,,,4.6,,,93.0,,
"Rajendranaga, NG Rang Agricultural University ",2017-12-01,17.6,,,,,,,63.0,,
"Nacharam, Police station ",2017-12-01,23.8,,,,4.9,,,115.0,,
"Abids, Police station ",2017-12-01,29.3,,,,4.7,,,130.0,,
"KBRN Park, DFO office ",2017-12-01,21.0,,,,4.5,,,96.0,,
HCU,2017-12-01,70.9,70.0,32.0,13.7,10.9,15.8,67.7,134.0,22.0,1.21
Sanathnagar,2017-12-01,70.4,103.0,44.0,3.4,13.4,2.9,38.1,,,0.96
Zoopark,2017-12-01,55.8,99.0,21.6,4.9,12.8,2.6,52.2,179.0,17.9,1.18
Pashamylaram,2017-12-01,73.2,77.0,20.8,2.3,11.0,4.1,39.4,147.0,17.0,0.73
"Bollaram, CAAQMS",2017-12-01,38.5,72.0,,,13.1,,,126.0,18.8,
ICRISAT,2017-12-01,33.9,72.0,2.4,0.2,18.7,0.8,43.0,143.0,12.0,0.85
KUDA,2017-12-01,24.6,,,,7.8,,,70.0,23.0,
" Mee-Seva, Warangal ",2017-12-01,27.3,,,,7.2,,,,23.0,
Balasamudram,2017-12-01,26.8,,,,8.0,,,72.0,,
Nakkalagutta,2017-12-01,27.3,,,,7.0,,,79.0,,
Godavarikhani,2017-12-01,26.2,,,,8.4,,,85.0,24.0,
" DIC building, Karimnagar",2017-12-01,26.7,,,,7.7,,,,26.0,
"CER Club, Kothagudem",2017-12-01,25.6,,,,7.7,,,64.0,26.0,
Jalasouda ,2017-12-01,26.3,,,,7.7,,,60.0,26.0,
Kothur,2017-12-01,28.3,,,,7.9,,,89.0,23.0,
R.C.Puram,2017-12-01,25.0,47.0,,,6.0,,,97.0,17.0,
"Bollaram, SAAQM",2017-12-01,,,,,,,,,,
Sangareddy,2017-12-01,23.0,40.0,,,4.0,,,76.0,16.0,
PETL,2017-12-01,28.0,,,,10.0,,,95.0,,
Gaddapotharam,2017-12-01,23.0,48.0,,,5.0,,,98.0,17.0,
"Nalgonda RO, Building",2017-12-01,23.0,39.0,,,6.0,,,56.0,17.0,
"Choutuppal, Nalgonda",2017-12-01,22.0,,,,6.0,,,60.0,17.0,
Subhasnagar/  Nizamabad,2017-12-01,22.0,,,,6.0,,,59.0,,
Adilabad/ Mandamarri,2017-12-01,21.0,,,,6.0,,,64.0,,
"Paradise, HMWS &SB Pump house",2017-01-01,,65.0,,,,,,,,
Subhasnagar / Nizamabad,2017-01-01,,32.0,,,,,,,21.0,
Adilabad/  Mandamarri,2017-01-01,,35.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-02-01,,61.0,,,,,,,,
Subhasnagar / Nizamabad,2017-02-01,,30.0,,,,,,,21.0,
Adilabad/  Mandamarri,2017-02-01,,32.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-03-01,,59.0,,,,,,,,
Subhasnagar / Nizamabad,2017-03-01,,31.0,,,,,,,21.0,
Adilabad/  Mandamarri,2017-03-01,,30.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-04-01,,71.0,,,,,,,,
Subhasnagar / Nizamabad,2017-04-01,,34.0,,,,,,,21.0,
Adilabad/  Mandamarri,2017-04-01,,35.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-05-01,,61.0,,,,,,,,
Subhasnagar / Nizamabad,2017-05-01,,33.0,,,,,,,21.0,
Adilabad/  Mandamarri,2017-05-01,,35.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-06-01,,46.0,,,,,,,,
Subhasnagar / Nizamabad,2017-06-01,,30.0,,,,,,,17.0,
Adilabad/  Mandamarri,2017-06-01,,32.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-07-01,,33.0,,,,,,,,
Subhasnagar / Nizamabad,2017-07-01,,26.0,,,,,,,17.0,
Adilabad/  Mandamarri,2017-07-01,,32.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-08-01,,32.0,,,,,,,,
Subhasnagar / Nizamabad,2017-08-01,,27.0,,,,,,,17.0,
Adilabad/  Mandamarri,2017-08-01,,28.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-09-01,,36.0,,,,,,,,
Subhasnagar / Nizamabad,2017-09-01,,27.0,,,,,,,17.0,
Adilabad/  Mandamarri,2017-09-01,,28.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-10-01,,57.0,,,,,,,,
Subhasnagar / Nizamabad,2017-10-01,,28.0,,,,,,,17.0,
Adilabad/  Mandamarri,2017-10-01,,31.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-11-01,,52.0,,,,,,,,
Subhasnagar / Nizamabad,2017-11-01,,27.0,,,,,,,17.0,
Adilabad/  Mandamarri,2017-11-01,,28.0,,,,,,,,
"Paradise, HMWS &SB Pump house",2017-12-01,,62.0,,,,,,,,
Subhasnagar / Nizamabad,2017-12-01,,26.0,,,,,,,18.0,
Adilabad/  Mandamarri,2017-12-01,,28.0,,,,,,,,
Bollaram,2017-01-01,,,3.4,0.7,,0.6,107.6,,,0.86
Bollaram,2017-02-01,,,4.5,0.9,,0.4,103.0,,,0.91
Bollaram,2017-03-01,,,2.9,0.5,,0.2,80.7,,,0.77
Bollaram,2017-04-01,,,4.1,0.7,,0.3,79.5,,,0.85
Bollaram,2017-05-01,,,3.1,0.5,,0.2,70.0,,,0.52
Bollaram,2017-06-01,,,3.3,0.6,,0.6,38.8,,,0.28
Bollaram,2017-07-01,,,3.8,0.7,,0.2,24.4,,,0.3
Bollaram,2017-08-01,,,3.7,0.5,,0.2,22.5,,,0.43
Bollaram,2017-09-01,,,2.5,0.4,,0.1,35.2,,,0.42
Bollaram,2017-10-01,,,2.6,0.5,,0.2,52.8,,,0.56
Bollaram,2017-11-01,,,1.1,0.2,,0.1,57.4,,,0.52
