Location,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,lat,lon
"Balanagar , CITD office ",126.0,119.0,136.0,80,86,67,74,94,88,98,135,157,16.948050000000023,78.18444000000005
"Uppal, Modern food Industry, IDA",126.0,115.0,101.0,52,71,59,70,79,90,91,124,138,17.405770000000075,78.55911000000003
"Jubilee Hills, Police station",104.0,103.0,84.0,67,71,57,71,76,83,83,84,105,17.43037000000004,78.40894000000003
"Paradise, HMWS &SB Pump house ",114.0,96.0,91.0,51,62,64,69,89,90,91,90,111,17.434060000000045,78.51544000000007
"Charminar, TSRTC bus station ",125.0,117.0,110.0,81,65,60,68,76,75,99,96,119,17.597800017147236,80.00123000703809
"Jeedimetla, Industrial Association building",148.0,129.0,117.0,78,95,68,69,86,86,102,121,145,17.53245000000004,78.45765000000006
"Abids, Police station ",90.0,97.0,102.0,57,63,54,51,49,49,60,94,103,17.38888000000003,78.47636000000006
"KBRN Park, DFO office ",55.0,58.0,58.0,56,58,40,22,40,41,47,64,68,17.425586534500578,78.41925295602329
"Langar House, Police Station ",95.0,96.0,96.0,55,61,49,47,75,59,68,82,99,17.378090000000043,78.42141000000004
"Madhapur, Shilpa Kalavedika ",89.0,92.0,106.0,73,89,43,38,37,56,75,78,107,19.02619000000004,78.36262000000005
"MGBS, Bus stand ",92.0,86.0,99.0,-,-,-,-,-,63,65,69,96,17.379643723074192,78.48286147937431
"Chikkadapally, Lepakshi Emporium ",79.0,74.0,113.0,40,52,42,41,61,62,74,80,83,17.40324000000004,78.49781000000007
"Kukatpally, JNTU",127.0,104.0,85.0,56,64,58,56,76,80,87,92,109,17.48735000000005,78.42087000000004
"Nacharam, Police station ",121.0,91.0,97.0,-,50,48,50,60,59,69,97,97,17.426580000000058,78.54959000000008
"Rajendranagar, NG Ranga Agricultural University ",51.0,47.0,52.0,36,44,31,28,41,39,61,61,73,17.314230000000066,78.42445000000004
"Sainikpuri,  MRO office ",73.0,68.0,85.0,-,74,45,42,48,46,45,63,79,17.491630000000043,78.54544000000004
"Buddha Purnima Project office, Tank Bund",101.0,77.0,82.0,41,46,37,33,55,51,61,75,94,17.409060000000068,78.47374000000008
"Shameerpet, MRO office",82.0,53.0,65.0,-,-,-,-,-,-,-,-,-,17.582170000000076,78.56126000000006
HCU,91.0,88.55172413793103,73.0,60,73.2,46,40,33,52,93,109,141,17.802515696000057,79.01075984700003
Sanathnagar,104.0,94.6896551724138,66.0,56,62.61290322580645,33.6,30,25,37,103,126,192,17.45876000000004,78.44310000000007
Zoopark,150.0,131.0,94.0,72,87.12903225806451,42.851851851851855,38,43,58,136,172,192,16.777300000000025,78.01248000000004
Pashamylaram,115.0,107.0,84.0,68,84.93548387096774,59.172413793103445,50,47,59,124,155,200,17.56176000000005,78.17238000000003
