Location,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,lat,lon
Balanagar,155.33333333333334,160.0,155.55555555555554,182.5555555555556,166,132,103.0,119.77777777777776,122.77777777777776,124.55555555555556,136.22222222222223,135.55555555555554,16.948050000000023,78.18444000000005
Uppal,146.77777777777777,147.0,129.66666666666666,159.0,103,72,75.44444444444444,73.22222222222223,85.33333333333333,96.03703703703704,125.11111111111111,134.88888888888889,17.405770000000075,78.55911000000003
Jubilee Hills,117.66666666666669,132.0,126.66666666666669,160.44444444444446,131,113,95.55555555555556,102.0,107.0,132.44444444444446,114.51851851851852,126.33333333333331,17.038170000000036,79.28520000000003
Paradise,134.55555555555554,131.0,126.0,163.22222222222223,137,97,88.0,79.88888888888889,81.66666666666667,103.88888888888889,105.44444444444444,132.44444444444446,18.438840000000027,79.13951000000003
Charminar ,122.88888888888889,157.0,142.22222222222223,198.77777777777777,171,84,82.22222222222223,100.0,113.88888888888889,120.22222222222224,134.66666666666666,138.44444444444446,17.360250000000065,78.47014000000007
Jeedimetla,172.11111111111111,163.0,154.66666666666666,179.55555555555554,149,88,94.11111111111111,89.66666666666667,112.44444444444444,130.0,126.77777777777776,142.11111111111111,17.521830000000023,78.45433000000008
Abids,145.0,131.0,120.0,113.0,80,74,84.05555555555556,61.8,79.3125,91.05263157894736,91.13636363636364,119.27777777777776,17.389810000000068,78.47659000000004
KBRN Park,83.0,81.0,75.0,93.0,74,45,41.21428571428572,34.5625,53.6,71.88235294117646,82.0,94.52941176470588,17.425586534500578,78.41925295602329
Langahouse,113.0,115.0,110.0,119.0,92,66,71.94444444444444,69.25,87.625,87.625,111.88888888888889,113.53846153846152,17.363510000000076,78.41933000000006
Madhapur,101.0,104.0,86.0,102.0,109,47,39.57142857142857,43.0,73.76190476190476,77.0,103.5,108.7,19.02619000000004,78.36262000000005
MGBS,115.0,120.0,111.0,119.0,105,46,57.5,80.23529411764706,108.53333333333332,101.6875,81.1,99.0,17.37706000000003,78.48489000000006
Chikkadapally,106.0,102.0,95.0,104.0,90,51,61.05555555555556,59.2,72.25,83.16666666666667,75.9047619047619,85.0,17.398227603962024,78.4961771081276
Kukatpally,119.0,109.0,117.0,129.0,94,66,76.11111111111111,70.07407407407408,81.62962962962962,88.0,129.77777777777777,149.0,17.48735000000005,78.42087000000004
