Location,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,lat,lon
Balanagar,162.66666666666666,175.66666666666666,116.125,123.29629629629628,108.33333333333331,102.44444444444444,92.84814814814814,104.04166666666666,84.55555555555556,109.88888888888889,161.55555555555554,155.44444444444446,16.948050000000023,78.18444000000005
Uppal,112.33333333333331,101.88888888888889,93.88888888888889,92.33333333333331,86.44444444444444,90.66666666666667,72.51851851851852,66.96296296296296,65.55555555555556,103.5,127,144.44444444444446,17.405770000000075,78.55911000000003
Jubilee Hills,106.11111111111111,123.22222222222224,105.88888888888889,108.0,100.55555555555556,92.77777777777777,76.48148148148148,78.37037037037038,64.66666666666667,103.55555555555556,117.77777777777777,164.5,17.038170000000036,79.28520000000003
Paradise,125.88888888888889,130.11111111111111,123.11111111111111,127.22222222222224,119.33333333333331,112.77777777777777,92.4074074074074,102.25925925925928,90,112.44444444444444,132.88888888888889,159.66666666666666,18.438840000000027,79.13951000000003
Charminar ,122.55555555555556,119.33333333333331,104.875,110.2962962962963,98.33333333333331,97.77777777777777,83.27037037037036,84.14814814814814,71.44444444444444,100.55555555555556,144.77777777777777,170.33333333333334,17.360250000000065,78.47014000000007
Jeedimetla,150.77777777777777,122.77777777777776,122.0,114.07407407407406,107.0,91.88888888888889,75.29629629629629,75.66666666666666,72.77777777777777,112,159.11111111111111,155.11111111111111,17.521830000000023,78.45433000000008
Abids,123.0,112.0,111.0,115.0,90.0,77,84,76.0,68,98,123,126,17.389810000000068,78.47659000000004
KBRN Park,80.0,66.0,78.0,64.0,45.0,42,36,39.0,30,54,85,76,17.425586534500578,78.41925295602329
Langahouse,113.0,116.0,107.0,86.0,70.0,69,65,64.0,54,73,79,109,17.363510000000076,78.41933000000006
Madhapur,94.0,88.0,88.0,82.0,68.0,58,55,49.0,42,65,98,102,19.02619000000004,78.36262000000005
MGBS,79.0,80.0,95.0,93.0,71.0,66,68,54.0,47,73,81,88,17.37706000000003,78.48489000000006
Chikkadapally,87.0,81.0,88.0,74.0,66.0,74,65,76.0,61,87,96,105,17.398227603962024,78.4961771081276
Kukatpally,96.0,82.0,78.0,83.0,79.0,79,67,65.0,63,91,125,126,17.48735000000005,78.42087000000004
Nacharam,117.0,124.0,120.0,117.0,106.0,100,94,67.0,59,100,119,126,17.431250000000034,78.55922000000004
Rajedranagar,63.0,75.0,67.0,71.0,65.0,64,71,60.0,57,66,75,75,17.392040000000065,78.54012000000006
Sainikpuri,85.0,87.0,85.0,71.0,78.0,79,66,72.0,62,88,80,110,17.491630000000043,78.54544000000004
BPPA,77.0,76.0,70.0,52.0,66.0,53,42,47.0,39,57,79,103,17.802515696000057,79.01075984700003
Shameerpet,82.0,64.0,83.0,78.0,62.0,77,65,75.0,71,74,82,60,17.582170000000076,78.56126000000006
Panjagutta,115.17857142857144,104.24137931034484,112.70967741935485,105.46153846153848,108.8148148148148,105.2,105.93548387096774,106.52380952380952,No Data,No Data,No Data,No Data,17.42616000000004,78.45210000000003
HCU,100.96774193548389,89.93103448275862,101.0,91.43333333333334,61.535714285714285,48.10344827586207,43.16129032258065,41.774193548387096,52.42857142857143,100.44827586206897,158.63333333333333,159,17.802515696000057,79.01075984700003
Zoopark,170.4193548387097,132.79310344827587,124.74193548387096,108.96551724137932,83.96551724137932,No Data,No Data,42.28,40.233333333333334,122.41935483870968,240.6,242,16.777300000000025,78.01248000000004
Sanathnagar,151.5,96.1923076923077,109.6206896551724,93.44827586206895,93.16129032258064,56.92857142857143,39.516129032258064,35.225806451612904,40.714285714285715,92.93548387096774,158,193,17.45876000000004,78.44310000000007
Pashamylaram,111.0,93.33333333333331,107.36666666666666,96.46666666666668,96.24137931034484,83.26666666666667,82.16666666666667,93.87096774193547,86.46428571428571,125.16666666666667,230.16666666666666,212,17.56176000000005,78.17238000000003
R C Puram,98.11111111111111,96.55555555555556,93.22222222222223,91.33333333333333,60.77777777777778,56.375,47.52311268092152,56.0,47.375,84.0,96.66666666666669,91,17.802515696000057,79.01075984700003
Gaddapotharam,96.66666666666669,95.44444444444444,90.33333333333333,82.40740740740742,58.0,50.11111111111112,43.88888888888889,58.29629629629629,42.11111111111112,75.11111111111111,87.44444444444444,79,17.657340000000033,78.37400000000008
Sangareddy,79.22222222222223,70.11111111111111,74.77777777777777,65.7037037037037,61.22222222222222,56.333333333333336,50.407407407407405,57.74074074074073,46.44444444444444,73.11111111111111,78.66666666666667,75,17.62516000000005,78.08237000000008
Nalgonda,64.11111111111111,61.44444444444444,59.333333333333336,69.55555555555556,54.22222222222222,54.625,53.5925925925926,54.41666666666667,56.0,59.22222222222222,57.55555555555556,65,17.057120000000054,79.26848000000007
Choutuppal,63.57142857142857,65.66666666666667,73.55555555555556,76.66666666666667,68.77777777777777,58.75,61.11111111111112,57.458333333333336,59.71428571428572,63.0,60.77777777777778,61,17.252710000000036,78.89614000000006
Nizamabad,62.333333333333336,63.666666666666664,66.33333333333333,68.33333333333333,68.66666666666667,38.0,56.77777777777778,58.22222222222222,56.44444444444444,64.22222222222223,60.11111111111112,62,18.67154000000005,78.09880000000004
Adilabad,67.33333333333333,68.33333333333333,71.11111111111111,69.55555555555556,70.55555555555556,40.11111111111112,59.888888888888886,60.888888888888886,58.0,66.88888888888889,62.66666666666666,65,19.672030000000063,78.53590000000008
"Kuda, warangal",73.33333333333333,72.22222222222223,67.66666666666667,73.51851851851852,75.88888888888889,72.16666666666667,56.875,43.708333333333336,47.85714285714285,62.0,55.75,83,17.984050000000025,79.60204000000004
"Mee-Seva, Warangal",75.77777777777777,72.11111111111111,63.111111111111114,73.37037037037038,84.11111111111111,68.33333333333333,63.22916666666666,38.16666666666666,51.66666666666666,60.75,83.44444444444444,84,17.989810000000034,79.59950000000003
Godavarikhani,108.125,92.33333333333333,75.55555555555556,73.625,55.888888888888886,45.11111111111112,35.583333333333336,40.629629629629626,38.285714285714285,58.888888888888886,93.77777777777776,104,18.75626000000005,79.50920000000008
Karimnagar,69.22222222222223,59.125,44,62.19444444444445,52.25,48.11111111111112,31.604166666666668,35.51851851851851,31.0,56.2,68.77777777777777,84,18.43915000000004,79.12856000000005
Kothagudem,76.66666666666667,70.66666666666667,60.888888888888886,63.18518518518519,59.875,48.85714285714285,37.2037037037037,45.35185185185185,47.22222222222222,59.44444444444444,56.11111111111112,66,17.543300000000045,80.61900000000009
Khammam,46.66666666666666,51.333333333333336,53.888888888888886,50.81481481481481,47.44444444444444,46.85714285714285,40.75925925925927,36.958333333333336,38.57142857142857,47.66666666666666,54.77777777777778,60,17.251630000000034,80.15729000000005
