Location,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,lat,lon
"Balanagar , CITD office ",139,141,136.98944426400777,111.0,116,103.0,81.0,53.0,89.0,81.0,104.49671331430515,113.4658419444289,16.948050000000023,78.18444000000005
"Uppal, Modern food Industry, IDA",118,111,108.45124400878014,108.0,108,87.0,54.0,56.0,67.0,69.0,96.8987535652386,103.27771654247869,17.405770000000075,78.55911000000003
"Jubilee Hills, Police station",98,101,97.33444684352088,85.0,91,79.0,64.0,54.0,58.0,81.0,85.90376275094657,95.08390710315412,17.43037000000004,78.40894000000003
"Paradise, HMWS &SB Pump house ",110,117,115.5989082458408,105.0,102,86.0,69.0,62.0,68.0,83.0,95.40463667176547,105.56086014946312,17.434060000000045,78.51544000000007
"Charminar, TSRTC bus station ",110,99,106.93591720066316,89.0,94,92.0,77.0,67.0,73.0,93.0,104.18366185489808,113.55823234006792,17.597800017147236,80.00123000703809
"Jeedimetla, Industrial Association building",128,144,135.97757236512828,118.0,110,90.0,63.0,81.0,76.0,77.0,103.63195589198274,113.15836588609672,17.53245000000004,78.45765000000006
"Abids, Police station ",102.69653384442908,96.89519555578815,114.43653146469812,98.99882575654854,95.83248272068872,85.27206698868862,49.85600723670328,63.43094457351528,68.06152911982822,63.92255992095083,89.2803565604259,99.7517376360352,17.38888000000003,78.47636000000006
"KBRN Park, DFO office ",75.71948480661474,73.12477427721535,82.04207577320923,83.86806409904891,65.9285505945546,52.11117160750442,33.362090694367744,35.420670555463595,51.0337848830062,47.687869163385606,78.39963402495525,88.62855453016219,17.425586534500578,78.41925295602329
"Langar House, Police Station ",99.67709502431768,101.34637892615277,105.79178613083866,99.7251319782189,90.38077758987939,72.95732959922552,61.71962682379382,61.84374610300554,64.78926292210772,61.46290061104898,85.54716610549902,100.28302697206472,17.378090000000043,78.42141000000004
"Madhapur, Shilpa Kalavedika ",111.82222180624694,108.4998575948495,106.4768935930667,115.66245048958822,103.01212418799159,73.54466950475809,54.09300032051708,51.26902795806317,60.84614268511801,57.73132644533651,80.14342755585986,84.86165055818759,19.02619000000004,78.36262000000005
"MGBS, Bus stand ",114.28432504788107,100.49670613183261,97.9913622916137,103.30442662440072,90.74783362268644,78.41360986965194,59.97037938003192,59.300714207012,64.64345148974374,63.76349536034101,94.22425109890732,92.84438595053992,17.379643723074192,78.48286147937431
"Chikkadapally, Lepakshi Emporium ",97.70576131687245,98.99915729407579,91.346814835485,94.08166701906744,87.77175042607244,79.71484391237472,47.26509302458744,58.04544178697731,57.61468855218819,56.89962121212167,76.03831536684257,93.02586439616668,17.40324000000004,78.49781000000007
"Kukatpally, JNTU",110,107,108.0,86.0,82,58.0,62.0,53.0,69.0,73.0,103.0,108.0,17.48735000000005,78.42087000000004
"Nacharam, Police station ",108,101.07620926789501,99.89028183984064,89.0,82.73850671456884,68.28773164538552,45.83525151298628,59.73144261507772,58.32066726301504,56.16042498427392,87.53365425186331,98.3907050117246,17.426580000000058,78.54959000000008
"Rajendranagar, NG Ranga Agricultural University ",80,80.90638559116272,73.4668318567971,72.0,55.91948466332192,46.19245908016103,30.0007344045624,43.73705454715977,60.932273592231056,50.08852703204231,84.58947404117393,91.8775171057768,17.314230000000066,78.42445000000004
"Sainikpuri,  MRO office ",75,76.12079842930991,67.3951643407974,68.0,74.13908240789432,59.64962109827701,37.90774058704436,50.74190796778554,44.55769651593682,47.011355846983406,78.39795759675081,71.14772171008588,17.491630000000043,78.54544000000004
"Buddha Purnima Project office, Tank Bund",92,82.23231322456421,81.55070410705453,76.0,68.80786786767892,61.77746830125939,48.74821830233814,52.15165847514743,57.8761561708934,51.20028201652037,86.97239231687641,87.15119394550497,17.409060000000068,78.47374000000008
"Shameerpet, MRO office",68,82.96857463524123,67.91714744446222,79.0,94.54111042195852,62.41683501683499,53.71422558922577,69.92474481994748,76.07441372792275,82.98777246145681,85.27017248508466,88.49154926457592,17.582170000000076,78.56126000000006
HCU,128,112,115.90322580645162,100.0,101,69.0,52.0,52.0,52.0,82.0,129.0,110.0,17.802515696000057,79.01075984700003
Sanathnagar,141,107,123.0,81.0,74,47.0,41.0,38.0,50.0,97.0,178.0,155.0,17.45876000000004,78.44310000000007
Zoopark,192,158,177.0,119.0,111,61.0,41.0,42.0,55.0,134.0,273.0,236.0,16.777300000000025,78.01248000000004
Pashamylaram,194,133,136.0,105.0,108,64.0,50.0,54.0,56.0,103.0,245.0,187.0,17.56176000000005,78.17238000000003
Bollaram,146,119,137.0,118.0,123,92.0,58.0,67.0,76.0,101.0,166.0,162.0,18.168900000000065,78.08390000000009
ICRISAT,141,107,126.0,96.0,96,68.0,39.0,42.0,43.0,91.0,202.0,161.0,17.516590000000065,78.27499000000006
ECIL,Commenced from April,,,82.0,46,36.0,48.0,39.87096774193548,39.0,47.0,56.0,65.23354838709676,17.42087514237781,78.54339414429708
Nacharam,,,,36.0,43,65.0,34.0,43.45161290322581,42.0,54.0,55.0,74.6641935483871,17.431250000000034,78.55922000000004
Malakpet louis,,,,94.0,51,67.0,57.0,53.935483870967744,47.0,46.0,62.0,71.90322580645162,18.10176000000007,79.71536000000003
Khairthabad RTA,,,,81.0,64,77.0,52.0,53.193548387096776,43.0,47.0,64.0,80.03225806451613,17.405920000000037,78.45856000000003
Komaplly,,,,47.0,58,37.0,43.0,46.38709677419355,40.0,46.0,54.0,67.0,17.549060000000054,78.48655000000008
Kokapet,,,,42.0,36,29.0,37.0,52.16129032258065,43.0,45.0,55.0,75.45161290322581,17.405860000000075,78.33022000000005
Sympony Park,,,,45.0,43,53.0,43.0,49.774193548387096,48.0,49.0,57.0,66.6774193548387,17.530569987152973,78.2881081586758
IITH ,,,,58.0,60,62.0,40.0,44.62068965517241,37.0,44.0,48.0,58.80645161290322,17.802515696000057,79.01075984700003
R C Puram,86,84,92.0,90.0,84.66666666666667,81.0,71.0,74.0,80.0,85.0,79.0,84.0,17.802515696000057,79.01075984700003
Gaddapotharam,89,93,95.0,94.0,95.74074074074073,90.0,79.0,82.0,85.0,90.0,85.0,87.0,17.657340000000033,78.37400000000008
Sangareddy,67,62,65.0,68.0,65.4074074074074,60.0,53.0,57.0,61.0,67.0,62.0,65.0,17.62516000000005,78.08237000000008
Nalgonda,51,53,57.0,54.0,51.48148148148149,49.0,45.0,54.0,58.0,65.0,58.0,57.0,17.057120000000054,79.26848000000007
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",53,58,52.0,56.0,53.18518518518518,50.0,43.0,51.0,55.0,58.0,53.0,52.0,17.065900000000056,79.26688000000007
Choutuppal,85,89,96.0,97.0,96.5925925925926,92.0,81.0,84.0,88.0,93.0,87.0,89.0,17.252710000000036,78.89614000000006
Nizamabad,56,59,64.0,58.0,56.22222222222223,54.0,46.0,53.0,54.0,63.0,56.0,59.0,18.67154000000005,78.09880000000004
Adilabad,-,-,56.0,65.0,60.14814814814814,58.0,48.0,56.0,56.0,65.0,58.0,62.0,19.672030000000063,78.53590000000008
PETL,85,75,74.0,75.0,73,78.0,64.0,78.0,81.0,85.0,78.0,76.0,17.802515696000057,79.01075984700003
"Kuda, warangal",58,64,49.10582565194736,66.1739300492242,53.70453040662648,72.0,40.42857142857143,43.0,41.0,64.0,49.0,116.0,17.984050000000025,79.60204000000004
"Mee-Seva, Warangal",73,72.51405261697931,76.0577469837078,60.08003076796452,77.0946499471698,85.0,47.26863694756443,56.0,48.0,64.0,94.0,94.0,17.989810000000034,79.59950000000003
Godavarikhani,94,108.66666666666667,87.66666666666667,66.99886448744891,76.21329906428517,86.0,68.11261110939452,54.0,55.0,61.0,114.0,124.0,18.75626000000005,79.50920000000008
Karimnagar,82,90.33333333333333,95.66666666666669,69.92621532684092,76.24128214586307,89.0,69.19779101510255,55.0,58.0,63.0,101.0,126.0,18.43915000000004,79.12856000000005
Kothagudem,93,92.18454628035204,80.11111111111111,78.22222222222223,92.80952380952385,92.0,84.4025493915395,70.0,56.0,59.0,92.0,97.0,17.543300000000045,80.61900000000009
Khammam,80,78.07930000217328,76.51851851851852,79.36573096143098,76.61111111111121,81.0,72.5000000000001,58.0,42.0,57.0,78.0,115.0,17.251630000000034,80.15729000000005
Kothur,93,72.55555555555556,89.77777777777777,84.55555555555556,83.11111111111111,104.0,80.375,88.0,81.0,91.0,111.0,114.0,17.147830000000056,78.28888000000006
Balasamudram,76,45,70.78373015872974,79.0,-,77.0,47.0,54.0,71.0,79.0,103.0,82.0,18.00099000000006,79.56018000000006
Nakkalagutta,67,87,102.75,81.0,65,73.0,51.0,79.0,76.0,87.0,90.0,95.0,18.000687574596203,79.55572875403895
