Location,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,lat,lon
"Balanagar , CITD office ",182.111111111111,175.444444444444,157.444444444444,149,138.625,118.333333333333,88,84.6188420723551,85,110,142.555555555556,150,16.94805,78.1844400000001
"Uppal, Modern food Industry, IDA",138.888888888889,124.333333333333,126.111111111111,91.5555555555556,107.777777777778,83.8888888888889,83,77.4444444444444,78.2643401683,102,142.111111111111,144,17.4057700000001,78.55911
"Jubilee Hills, Police station",150.888888888889,147.333333333333,124.555555555556,105.444444444444,104.333333333333,92.2222222222223,83,70.7777777777778,79.1236576341686,99,112.181818181818,132,17.43037,78.40894
"Paradise, HMWS &SB Pump house ",132.888888888889,137.333333333333,107.666666666667,112.888888888889,114.222222222222,101.111111111111,91,70.8888888888889,81.1289772883053,105,101.909090909091,124,17.43406,78.5154400000001
"Charminar, TSRTC bus station ",136.555555555556,135.666666666667,109.888888888889,100.444444444444,109.333333333333,83.4444444444445,75,66.2222222222222,72.1669906143992,95,107.636363636364,131,17.5978000171472,80.0012300070381
"Jeedimetla, Industrial Association building",160.666666666667,162.333333333333,153.111111111111,121.333333333333,120,104.666666666667,91,83,87,103,123.444444444444,146,17.53245,78.4576500000001
"Abids, Police station ",114.982101612715,97.683112703923,105.358774573997,95.3870688316302,107.823542650402,99.799863705477,87.8922875454376,74,87.8489548981432,80,103,98,17.38888,78.4763600000001
"KBRN Park, DFO office ",84.8931098438199,70.4110945828027,64.4741194254104,57.5844167038718,70.470831596124,43.199457586277,38.0385039643294,41,41.7067192324669,39,66,69,17.4255865345006,78.4192529560233
"Langar House, Police Station ",103.038897749425,94.045425295704,100.047970114121,86.5476992143661,102.212986590262,82.9134810423017,88.1311708677523,85,97.7116708605662,109,106,117,17.37809,78.42141
"Madhapur, Shilpa Kalavedika ",108.746062162923,96.8151399782097,105.764144268682,91.7436671013787,103.682654692726,76.8613449808855,75.0973880985104,55,76.1729834002132,91.234535631277,106,103,19.02619,78.3626200000001
"MGBS, Bus stand ",112.236801830103,95.8825484280027,107.870672063076,83.1256334387642,104.663204318354,93.7380439864146,78.8505472103963,64,67.0088631056084,73,105,106,17.3796437230742,78.4828614793743
"Chikkadapally, Lepakshi Emporium ",108.280984447651,85.4990740740742,79.2780073461891,77.3868843229161,93.0553137111128,79.1571598336298,74.9391232372696,68,71.8750197219794,69,99,86,17.40324,78.4978100000001
"Kukatpally, JNTU",142.333333333333,126.328732317637,113,91.163801504814,100.875,77,74,66,73,88,121,141,17.48735,78.42087
"Nacharam, Police station ",107.068139997241,92.2014121563099,88.8261911082238,79.7995772842352,95.5572177001842,63.9863151261836,70.0535517104021,67,73.4312701531003,87,110,107,17.4265800000001,78.5495900000001
"Rajendranagar, NG Ranga Agricultural University ",92,94.7606769448868,79.3732616011175,55.6858442551654,52.667859687168,49.0990750118304,35.1679884698077,39,38.8922826005943,45,61,69,17.3142300000001,78.42445
"Sainikpuri,  MRO office ",70.9973291111484,75.2066780292958,65.9732726472328,69,83.8482031188522,85.1522184058831,82.9927474097718,56,69.1691844698149,61,54,59,17.49163,78.54544
"Buddha Purnima Project office, Tank Bund",99.491166026732,82.0870031308425,74.6928660593379,72.3203980944644,66.815728232538,62.5394456360763,63.4725207675799,64,58.5107000653411,61,82,88,17.4090600000001,78.4737400000001
"Shameerpet, MRO office",71.0107762457188,58.0650480358152,51.8588084297099,78,82.7132920105225,73.8505575991122,69.174120271778,65,54.3324966757343,46,-,74,17.5821700000001,78.5612600000001
HCU,145.483870967742,111.555555555556,106.344827586207,90.7047619047619,116.354838709677,61,36,43,40,60.8064516129032,126,109,17.8025156960001,79.010759847
Sanathnagar,210.838709677419,110.769230769231,88.6774193548387,68.5193452380952,76.5185185185185,52,40,38,51,92.741935483871,187.655172413793,176,17.45876,78.4431000000001
Zoopark,234.103448275862,145.857142857143,119.448275862069,107,139.95,65,40,44,52,89.1935483870968,203.068965517241,190,16.7773,78.01248
Pashamylaram,183.548387096774,122.821428571429,119.928571428571,87,125.387096774194,56,43,60,42,69.2258064516129,180.933333333333,154,17.56176,78.17238
Bollaram,167.766666666667,115.25,113.866666666667,99,126.033333333333,74,64,74,58,81.8709677419355,173.433333333333,151,18.1689000000001,78.0839000000001
ICRISAT,159.741935483871,115.5,113.677419354839,93,121.967741935484,54,33,38,35.6,67.2258064516129,155.966666666667,134,17.5165900000001,78.2749900000001
