Location,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,lat,lon
"Balanagar , CITD office ",161.5068855683885,169,166.31645057567064,166,112,93,80.76163989067744,81.21460651141277,69,103,110.81265006330652,134.0,16.948050000000023,78.18444000000005
"Uppal, Modern food Industry, IDA",138.1831041858553,134,135.7238624317679,128.46424251698875,64,69,75.4556761537508,70.20056811618923,55,94,91.48993239156178,116.0,17.405770000000075,78.55911000000003
"Jubilee Hills, Police station",119.98689826035888,107,119.53235436747738,105,58,72,71.6580896276617,84.10195509349862,53,81,91.15863607305124,95.0,17.43037000000004,78.40894000000003
"Paradise, HMWS &SB Pump house ",125.64035627500945,115,116.45989179279572,99.81248574887793,64,61,74.34427701853588,66.4622731878543,69,84,90.41588932424922,113.0,17.434060000000045,78.51544000000007
"Charminar, TSRTC bus station ",124.07041997247023,127,125.8054861764359,110.44079530586873,59,66,68.25517425488523,64.45735026902587,77,106,87.58857109984562,111.0,17.597800017147236,80.00123000703809
"Jeedimetla, Industrial Association building",147.9921351146095,147,147.57698127020524,121.0336724261477,74,69,68.4448606701814,72,58,100,114.06959312633472,128.0,17.53245000000004,78.45765000000006
"Abids, Police station ",100,106.27996306821348,106.49160745187706,77.26519015512768,50.00234827212121,46.92902564048969,47.37879728078635,44.70365520254576,46.41158168933474,54.359862749251185,75.89033711868704,105.5164001311122,17.38888000000003,78.47636000000006
"KBRN Park, DFO office ",81,64.13460074046833,66.07447079565026,56.53320718978734,35.426671590323906,38.04783959948976,32.45634851925206,27.003713252920413,26.168449233669953,41.683632986791,52.66685508026274,78.6408279924049,17.425586534500578,78.41925295602329
"Langar House, Police Station ",114,114.51032963378631,103.16170968948752,84.7211830236525,55.23431231760787,58.62600980873565,53.634716823458774,47.98980633748621,54.55430984795222,59.57992570011362,76.72360059932771,109.55945386992497,17.378090000000043,78.42141000000004
"Madhapur, Shilpa Kalavedika ",123,113.60105212323131,110.77941988020935,96.73888198607975,60.00288487769368,55.03473578254966,48.343774699552945,47.06771619520441,41.58985929880993,67.09792054787546,89.45617902579042,108.388469280344,19.02619000000004,78.36262000000005
"MGBS, Bus stand ",121,96.22279368277215,100.17211714922016,87.47393389418035,52.19971819206825,64.1745896167651,54.25736497025472,51.10467317300575,48.857624500392276,75.55699403696936,85.73446102777278,111.6538850706103,17.379643723074192,78.48286147937431
"Chikkadapally, Lepakshi Emporium ",102,94.55922865013711,93.4598510356095,93.2292973003698,50.43786893133409,62.59358169260391,49.58613916947256,50.4278900112234,48.96113611843997,58.88194106886341,69.89295867261967,98.69018467503255,17.40324000000004,78.49781000000007
"Kukatpally, JNTU",113,109,100,92,50,53,53,55,51,85,102,98.0,17.48735000000005,78.42087000000004
"Nacharam, Police station ",116,108,107.437201289213,86.77236130855201,53.14157203559995,51.02803446373265,43.98821217963274,49.423445372229864,41.84349259051025,65.99858310188453,85,109.0,17.426580000000058,78.54959000000008
"Rajendranagar, NG Ranga Agricultural University ",82,71,80.11659530185119,65.61609131312188,43,41.683385083718306,28.65384118207021,31.640471347187685,31.524721782754472,41.465875314075234,62,87.0,17.314230000000066,78.42445000000004
"Sainikpuri,  MRO office ",95,76,75.69882300863367,75,36.938237841632045,38.8495554179607,36.04118462259585,36.4344319774231,32.998076461628514,45.3845461837357,67,96.96118471105277,17.491630000000043,78.54544000000004
"Buddha Purnima Project office, Tank Bund",91,90,82,66.37475713695378,40.77720563393584,48.20700378793511,42,43.02413276654155,42.14385873844327,54.69525440807012,70,93.06942192661178,17.409060000000068,78.47374000000008
"Shameerpet, MRO office",-,-,-,-,-,-,-,-,-,-,-,84.0,17.582170000000076,78.56126000000006
HCU,117,113,114,104,57,43,31,35,36,86,89,128.0,17.802515696000057,79.01075984700003
Sanathnagar,159,158,128,90,48,36,34,40,36,94,106,185.0,17.45876000000004,78.44310000000007
Zoopark,156,155,142,127,68,54,56,54,56,126,155,237.0,16.777300000000025,78.01248000000004
Pashamylaram,147,130,138,116,78,82,75,96,88,140,143,192.0,17.56176000000005,78.17238000000003
Bollaram,151,135,142,117,70,60,44,65,55,99,104,168.0,18.168900000000065,78.08390000000009
Bollaram,102,93,103,107,81,85,83,82,85,92,96,90,18.168900000000065,78.08390000000009
ICRISAT,136,133,127,106,54,36,25,46,25,97,118,174.0,17.516590000000065,78.27499000000006
